datetime,pm2_5
2021-05-12 15:40:19,23.5
2021-05-12 15:40:21,23.5
2021-05-12 15:40:23,23.4
2021-05-12 15:40:25,23.4
2021-05-12 15:40:27,23.4
2021-05-12 15:40:29,23.5
2021-05-12 15:40:31,23.4
2021-05-12 15:40:33,23.5
2021-05-12 15:40:35,23.5
2021-05-12 15:40:37,23.5
2021-05-12 15:40:39,23.4
2021-05-12 15:40:41,23.8
2021-05-12 15:40:43,23.5
2021-05-12 15:40:45,23.8
2021-05-12 15:40:47,23.8
2021-05-12 15:40:49,23.5
2021-05-12 15:40:51,23.5
2021-05-12 15:40:53,23.8
2021-05-12 15:40:55,23.4
2021-05-12 15:40:57,23.8
2021-05-12 15:40:59,23.8
2021-05-12 15:41:01,23.8
2021-05-12 15:41:03,23.8
2021-05-12 15:41:05,23.8
2021-05-12 15:41:07,23.8
2021-05-12 15:41:09,23.8
2021-05-12 15:41:11,23.8
2021-05-12 15:41:19,23.5
2021-05-12 15:41:21,23.5
2021-05-12 15:41:23,23.4
2021-05-12 15:41:25,23.5
2021-05-12 15:41:27,23.5
2021-05-12 15:41:29,23.5
2021-05-12 15:41:37,23.5
2021-05-12 15:41:39,23.5
2021-05-12 15:41:41,23.4
2021-05-12 15:41:43,23.5
2021-05-12 15:41:45,23.5
2021-05-12 15:41:47,23.5
2021-05-12 15:42:01,23.4
2021-05-12 15:42:03,23.5
2021-05-12 15:42:05,23.1
2021-05-12 15:42:07,23.5
2021-05-12 15:42:09,23.5
2021-05-12 15:42:11,23.5
2021-05-12 15:42:13,23.5
2021-05-12 15:42:15,23.5
2021-05-12 15:42:17,23.5
2021-05-12 15:42:19,23.4
2021-05-12 15:42:21,23.5
2021-05-12 15:42:23,23.5
2021-05-12 15:42:37,23.8
2021-05-12 15:42:39,23.8
2021-05-12 15:42:41,23.8
2021-05-12 15:42:43,23.8
2021-05-12 15:42:45,23.5
2021-05-12 15:42:47,23.5
2021-05-12 15:42:49,23.8
2021-05-12 15:42:51,23.8
2021-05-12 15:42:53,23.8
2021-05-12 15:43:01,23.8
2021-05-12 15:43:03,24.2
2021-05-12 15:43:05,24.2
2021-05-12 15:43:07,24.2
2021-05-12 15:43:09,24.2
2021-05-12 15:43:11,24.2
2021-05-12 15:43:13,23.8
2021-05-12 15:43:15,24.2
2021-05-12 15:43:17,24.1
2021-05-12 15:43:31,23.8
2021-05-12 15:43:33,23.8
2021-05-12 15:43:35,23.8
2021-05-12 15:43:37,23.8
2021-05-12 15:43:39,24.2
2021-05-12 15:43:41,23.8
2021-05-12 15:43:43,23.8
2021-05-12 15:43:45,23.8
2021-05-12 15:43:47,24.2
2021-05-12 15:43:55,23.8
2021-05-12 15:43:57,23.8
2021-05-12 15:43:59,24.1
2021-05-12 15:44:07,24.1
2021-05-12 15:44:09,24.1
2021-05-12 15:44:11,23.8
2021-05-12 15:44:19,24.1
2021-05-12 15:44:21,24.1
2021-05-12 15:44:23,23.8
2021-05-12 15:44:37,23.8
2021-05-12 15:44:39,23.8
2021-05-12 15:44:41,23.8
2021-05-12 15:44:49,23.8
2021-05-12 15:44:51,23.5
2021-05-12 15:44:53,23.4
2021-05-12 15:44:55,23.8
2021-05-12 15:44:57,23.8
2021-05-12 15:44:59,23.5
2021-05-12 15:45:01,23.5
2021-05-12 15:45:03,23.5
2021-05-12 15:45:05,23.5
2021-05-12 15:45:07,23.5
2021-05-12 15:45:09,23.5
2021-05-12 15:45:11,23.5
2021-05-12 15:45:19,23.5
2021-05-12 15:45:21,23.5
2021-05-12 15:45:23,23.8
2021-05-12 15:45:25,23.5
