datetime,pm2_5
2021-05-12 16:17:38,25.6
2021-05-12 16:17:48,25.3
2021-05-12 16:17:58,25.3
2021-05-12 16:18:08,25.3
2021-05-12 16:18:18,26.0
2021-05-12 16:18:28,26.0
2021-05-12 16:18:38,26.3
2021-05-12 16:18:48,26.3
2021-05-12 16:18:58,26.7
2021-05-12 16:19:08,26.7
2021-05-12 16:19:18,26.4
2021-05-12 16:19:28,26.4
2021-05-12 16:19:38,26.0
2021-05-12 16:19:48,26.7
2021-05-12 16:19:58,26.7
2021-05-12 16:20:08,26.4
2021-05-12 16:20:18,26.7
2021-05-12 16:20:28,26.4
2021-05-12 16:20:38,26.4
2021-05-12 16:20:48,26.8
2021-05-12 16:20:58,27.1
2021-05-12 16:21:08,27.1
2021-05-12 16:21:18,26.7
2021-05-12 16:21:28,27.5
2021-05-12 16:21:38,27.5
2021-05-12 16:21:48,27.5
2021-05-12 16:21:58,27.1
2021-05-12 16:22:08,27.2
2021-05-12 16:22:18,27.1
2021-05-12 16:22:28,26.8
2021-05-12 16:22:38,27.2
2021-05-12 16:22:48,27.2
2021-05-12 16:22:58,26.7
2021-05-12 16:23:08,27.5
2021-05-12 16:23:18,27.5
2021-05-12 16:23:28,27.9
2021-05-12 16:23:38,28.2
2021-05-12 16:23:48,27.9
2021-05-12 16:23:58,27.9
2021-05-12 16:24:08,27.9
2021-05-12 16:24:18,27.5
2021-05-12 16:24:28,28.3
2021-05-12 16:24:38,27.1
2021-05-12 16:24:48,27.9
2021-05-12 16:24:58,28.3
2021-05-12 16:25:08,28.6
2021-05-12 16:25:18,29.0
2021-05-12 16:25:28,29.3
2021-05-12 16:25:38,30.0
2021-05-12 16:25:48,30.0
2021-05-12 16:25:58,30.0
2021-05-12 16:26:08,30.0
2021-05-12 16:26:18,29.6
2021-05-12 16:27:19,29.6
2021-05-12 16:27:29,30.0
2021-05-12 16:27:39,29.7
2021-05-12 16:27:49,29.3
2021-05-12 16:27:59,29.0
2021-05-12 16:28:09,28.3
2021-05-12 16:28:19,28.6
2021-05-12 16:28:29,28.6
2021-05-12 16:28:39,29.0
2021-05-12 16:28:49,28.5
2021-05-12 16:28:59,29.3
2021-05-12 16:29:09,29.3
2021-05-12 16:29:19,29.0
2021-05-12 16:29:29,28.7
2021-05-12 16:29:39,28.6
2021-05-12 16:29:49,28.3
2021-05-12 16:29:59,28.3
2021-05-12 16:30:09,28.3
2021-05-12 16:30:19,28.6
2021-05-12 16:30:29,28.5
2021-05-12 16:30:39,28.6
2021-05-12 16:30:49,29.0
2021-05-12 16:30:59,28.6
2021-05-12 16:31:09,28.6
2021-05-12 16:31:19,28.3
2021-05-12 16:31:29,28.6
2021-05-12 16:31:39,28.3
2021-05-12 16:31:49,27.9
2021-05-12 16:31:59,27.9
2021-05-12 16:32:09,27.8
2021-05-12 16:32:19,28.3
2021-05-12 16:32:29,27.9
2021-05-12 16:32:39,27.9
2021-05-12 16:32:49,27.6
2021-05-12 16:32:59,28.0
2021-05-12 16:33:09,27.6
2021-05-12 16:33:19,27.9
2021-05-12 16:33:29,27.6
2021-05-12 16:33:39,27.9
2021-05-12 16:33:49,27.8
2021-05-12 16:33:59,28.6
2021-05-12 16:34:09,29.0
2021-05-12 16:34:19,28.6
2021-05-12 16:34:29,29.0
2021-05-12 16:34:39,29.0
2021-05-12 16:34:49,28.3
2021-05-12 16:34:59,28.6
2021-05-12 16:35:09,28.6
